2	I really had a solid day apart from being able to work out. I should start going for walks after or before my shifts on the days that I do not have time to go to the gym. 
2	Today was a great day. Productive and I used my brain a lot so my brain felt like mush at the end of the day. But I got lots of work done and I am proud of the work I accomplished today. I feel like I fit in with the staff at SMH and I feel more and more comfortable and confident in practicum each day at SMH. I only have one more week with Dena doing admin at SMH and I am already sad about leaving. I have really enjoyed my time at SMH in level 2
2	Chill sunday full of things I love. Finished cobra kai
2	Writing about today and yesterday because i missed my blog
2	Today was a lot of ups and downs. I got up and went for s run right away
2	Today I felt like I socialized more than usual which made me feel better about my day. I am stressed about getting everything done for the weeks coming up
2	Today was a pretty good day. Worked out
2	Today I am thankful for my friends who were kind enough to listen to me when I had a problem. I am also thankful for the open community I joined and how honest this women was about her vegan life. I am also thankful for the amazing food my mom can make and how tasty it was. I completed a bunch of Q life activities I had piling up here on the site and it felt so amazing to complete them all. I could have spent time working on school activities
2	Haven't journaled in a bit. Crazy week. Finished admin rotation at Soldiers Memorial Hospital. 2 more weeks of admin at Valley Regional Hospital and then I start clinical. Special meal day was last Thursday and it went great. I had my IUD appointment last Tuesday. I have more appointments coming up next week which I am a bit nervous about. Cole and I haven't been getting along great lately. I am trying to focus on myself while he is at work. I try to be productive around the apartment but also mentally. I cleaned today
2	First day back journaling for the first time in a bit. Took a break while I was in NB because I was more focused on drinking and hanging out with friends. I think this is something I could definitely get done even when I have a night where I go drinking. Instead of doing the writing while I am drunk I can do the writing the morning after and try to remember all the different things I do throughout the day. I am gonna do this next time I am going out. I drank waaaay too much I think
2	Today is Sunday. Slept in which was nice. Got some stuff done that I wanted to. But as always
2	today i started in a mood
2	Today was a day where I took a day off from the gym so I did not really move around much at all until I had to go to work
2	Pretty dece
2	Today wasn't too bad. I liked my outfit
2	Today was a frustrating day to say the least. I wish I was a little more in control of myself the night before
2	On day 6 of recovering from surgery. Minimal mobility is really taking a toll on me. I wish I could move around and get more physical activity. I think I would also benefit from napping and I should really try to nap more often while I still can during this recovery period. I am getting tired of feeling lazy. Although I still dread going back to crazy practicum schedules
2	The past week has been stressful as I spent the entire time at home with the family. But today was great
2	I like this
2	Sunday
2	Today was good but okay I had a hair appointment so now I feel more confident about myself. Started my biomechanics assignment but feeling overwhelmed for the soc midterm tomorrow 
2	monday
2	"I forgot to do the last 2 days of this oops but im going to try and do it every day from now on! I feel content with myself and self aware of the actions I am taking. Today I noticed myself being condensending when I was explaining about my big ""squat"" I did earlier. No need to talk about yourself"
2	Today I was super hungover and very unproductive. I did draw though which was nice. I didn?€?t get done what i needed to get done
2	Today I'm thankful for the sun shining brightly through the living room windwo. I'm thankful for time to do some laundry. I'm thankful for Eric stoking the furnace before going to work. I'm thankful for clarity on how to deal with my eyeglasses.
2	Bad day today. Really stressful day at practicum trying to figure out the details about my special meal project and start the finance assignment. Fridays are always busy so Dena was busy herself and we didn't get much done on our calendars for today. I had an awful night last night stressing about my special meal and had a terrible time falling asleep. Cole was very understanding and sweet and he helped me calm down last night. He bought me a bottle of wine to help me relax tonight. I am so grateful for him.
2	Just having a bad day
2	Today flew by crazy fast
2	wrote 2 mid terms today. 1 went well the other didn't. Studied all day for another mid term and then had a meeting with a ex pro player to train me for the rest of the semester. I can't wait to start to put in the work with him. I also saw a girl at the lib and was able to get her contact and i'm now waiting for her to add me on snap. I'm a bit anxious because i haven't been added yet. I can't get too worked up because she may be busy
